Date,USDJPY
2010/1/1,92.92
2010/1/4,92.495
2010/1/5,91.585
2010/1/6,92.356
2010/1/7,93.39
2010/1/8,92.66
2010/1/11,92.092
2010/1/12,91.08
2010/1/13,91.433
2010/1/14,91.267
2010/1/15,90.75
2010/1/18,90.705
2010/1/19,91.199
2010/1/20,91.192
2010/1/21,90.393
2010/1/22,89.81
2010/1/25,90.415
2010/1/26,89.63
2010/1/27,89.95
2010/1/28,89.778
2010/1/29,90.27
2010/2/1,90.76
2010/2/2,90.428
2010/2/3,90.84
2010/2/4,89.41
2010/2/5,89.22
2010/2/8,89.22
2010/2/9,89.768
2010/2/10,89.93
2010/2/11,89.81
2010/2/12,89.95
2010/2/15,90.05
2010/2/16,90.244
2010/2/17,91.05
2010/2/18,91.977
2010/2/19,91.54
2010/2/22,91.235
2010/2/23,90.16
2010/2/24,90.279
2010/2/25,89.27
2010/2/26,88.921
2010/3/1,89.15
2010/3/2,88.74
2010/3/3,88.57
2010/3/4,89.16
2010/3/5,90.22
2010/3/8,90.286
2010/3/9,89.989
2010/3/10,90.47
2010/3/11,90.648
2010/3/12,90.54
2010/3/15,90.32
2010/3/16,90.29
2010/3/17,90.403
2010/3/18,90.48
2010/3/19,90.52
2010/3/22,90.34
2010/3/23,90.366
2010/3/24,92.014
2010/3/25,92.513
2010/3/26,92.507
2010/3/28,92.49
2010/3/29,92.82
2010/3/30,93.52
2010/3/31,93.85
2010/4/1,94.53
2010/4/2,94.53
2010/4/4,94.33
2010/4/5,93.794
2010/4/6,93.309
2010/4/7,93.42
2010/4/8,93.16
2010/4/9,93.16
2010/4/11,93.183
2010/4/12,93.18
2010/4/13,93.318
2010/4/14,93.04
2010/4/15,92.15
2010/4/16,92.15
2010/4/18,92.46
2010/4/19,93.171
2010/4/20,93.054
2010/4/21,93.398
2010/4/22,93.95
2010/4/23,93.95
2010/4/25,93.9
2010/4/26,93.144
2010/4/27,93.96
2010/4/28,94.013
2010/4/29,93.83
2010/4/30,93.83
2010/5/2,94.692
2010/5/3,94.71
2010/5/4,93.781
2010/5/5,90.83
2010/5/6,91.58
2010/5/7,91.58
2010/5/9,93.18
2010/5/10,92.49
2010/5/11,93.169
2010/5/12,92.777
2010/5/13,92.46
2010/5/14,92.46
2010/5/16,92.55
2010/5/17,91.901
2010/5/18,91.54
2010/5/19,89.37
2010/5/20,89.986
2010/5/21,89.986
2010/5/23,90.19
2010/5/24,90.332
2010/5/25,89.97
2010/5/26,90.879
2010/5/27,91.052
2010/5/28,91.052
2010/5/30,91.19
2010/5/31,91.1
2010/6/1,92.19
2010/6/2,92.623
2010/6/3,91.88
2010/6/4,91.88
2010/6/6,91.516
2010/6/7,91.41
2010/6/8,91.365
2010/6/9,91.309
2010/6/10,91.62
2010/6/11,91.62
2010/6/13,91.62
2010/6/14,91.474
2010/6/15,91.396
2010/6/16,90.84
2010/6/17,90.7
2010/6/18,90.7
2010/6/20,90.995
2010/6/21,90.54
2010/6/22,89.91
2010/6/23,89.63
2010/6/24,89.15
2010/6/25,89.15
2010/6/27,89.313
2010/6/28,88.649
2010/6/29,88.43
2010/6/30,87.6
2010/7/1,87.79
2010/7/2,87.79
2010/7/4,87.625
2010/7/5,87.48
2010/7/6,87.68
2010/7/7,88.41
2010/7/8,88.57
2010/7/9,88.57
2010/7/11,88.639
2010/7/12,88.793
2010/7/13,88.27
2010/7/14,87.34
2010/7/15,86.56
2010/7/16,86.56
2010/7/18,86.76
2010/7/19,87.242
2010/7/20,86.861
2010/7/21,87.124
2010/7/22,87.52
2010/7/23,87.52
2010/7/25,86.998
2010/7/26,87.816
2010/7/27,87.452
2010/7/28,86.683
2010/7/29,86.44
2010/7/30,86.44
2010/8/1,86.598
2010/8/2,85.78
2010/8/3,85.78
2010/8/4,86.3
2010/8/5,85.833
2010/8/6,85.833
2010/8/8,85.344
2010/8/9,85.897
2010/8/10,85.36
2010/8/11,85.172
2010/8/12,86.074
2010/8/13,86.074
2010/8/15,86.14
2010/8/16,85.307
2010/8/17,85.595
2010/8/18,85.44
2010/8/19,85.344
2010/8/20,85.344
2010/8/22,85.56
2010/8/23,85.141
2010/8/24,84.178
2010/8/25,84.684
2010/8/26,84.346
2010/8/27,84.346
2010/8/29,85.501
2010/8/30,84.532
2010/8/31,84.14
2010/9/1,84.407
2010/9/2,84.25
2010/9/3,84.25
2010/9/5,84.43
2010/9/6,84.12
2010/9/7,83.732
2010/9/8,83.95
2010/9/9,83.93
2010/9/10,83.93
2010/9/12,84.307
2010/9/13,83.681
2010/9/14,83.048
2010/9/15,85.7
2010/9/16,85.848
2010/9/17,85.848
2010/9/19,85.69
2010/9/20,85.702
2010/9/21,85.113
2010/9/22,84.48
2010/9/23,84.51
2010/9/24,84.51
2010/9/26,84.316
2010/9/27,84.275
2010/9/28,83.892
2010/9/29,83.766
2010/9/30,83.57
2010/10/1,83.57
2010/10/3,83.333
2010/10/4,83.503
2010/10/5,83.19
2010/10/6,82.967
2010/10/7,82.38
2010/10/8,82.38
2010/10/10,81.82
2010/10/11,82.089
2010/10/12,81.78
2010/10/13,81.798
2010/10/14,81.47
2010/10/15,81.47
2010/10/17,81.378
